,序号,一级流程,二级流程,三级流程,处罚企业名称,处罚企业简称,处罚决定书文号（如适用）,事件描述,相关法规（如适用）,处罚措施（如适用）,处罚金额（万元）（如适用）,处罚机关（如适用）,处罚地域,处罚日期（如适用）,事件发生日期,事件类型,事件信息源,是否影响业务范围,事件内控类型（如适用）,损失事件类型,事件损失等级,事件损失等级得分,维护日期,维护人,备注
217,143,交易管理,网络支付管理,交易结算,贵州珈薇工贸有限公司,珈薇工贸,〔贵银支付）罚字〔2018〕1号,支付结算类,不适用,"根据《人民币银行结算账户管理办法》第六十八条,处以罚款1万元。",1,中国人民银行贵阳中心支行,贵阳,2018-03-30,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
218,144,交易管理,网络支付管理,交易结算,双乾网络支付有限公司 ,双乾,（南银）罚字〔2018〕7号,违反非金融机构支付服务管理办法相关规定,《非金融机构支付服务管理办法》,罚款人民币4万元,4,中国人民银行南京分行,南京,2018-03-29,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
219,145,运营支持,客户权益保护,培训宣传,支付宝（中国）网络技术有限公司,支付宝,杭银处罚字〔2018〕23号,"产品宣传方面：
（1）在视频宣传中开展引人误解的宣传；
（2）在支付宝官方微博中开展引人误解的宣传；
（3）处理完毕的投诉占比计算不实，导致对外公布的数据与实际不符。",《非金融机构支付服务管理办法》,"1.根据《非金融机构支付服务管理办法》，处罚款3万元。
2.根据《中华人民共和国消费者权益保护法》，对产品宣传与个人信息保护两项违法行为，分别给予警告，并处罚款10万元、5万元。

以上罚款合计人民币18万元。
",18,中国人民银行杭州中心支行,杭州,2018-03-22,,,监管,否,执行层面,其他,重要(3),3.0,,,
220,145,运营支持,客户权益保护,客户隐私保护,支付宝（中国）网络技术有限公司,支付宝,杭银处罚字〔2018〕23号,"个人信息保护方面：
（1）个人金融信息收集不符合最少、必需原则；
（2）个人金融信息使用不当。",《中华人民共和国消费者权益保护法》,"1.根据《非金融机构支付服务管理办法》，处罚款3万元。
2.根据《中华人民共和国消费者权益保护法》，对产品宣传与个人信息保护两项违法行为，分别给予警告，并处罚款10万元、5万元。

以上罚款合计人民币18万元。
",18,中国人民银行杭州中心支行,杭州,2018-03-22,,,监管,否,执行层面,其他,重要(3),3.0,,,
221,145,运营支持,客户权益保护,客户隐私保护,支付宝（中国）网络技术有限公司,支付宝,杭银处罚字〔2018〕23号,"客户权益方面：
（1）金融消费者知情权保障不充分；
（2）消费者的自主选择权保障不充分。
",《非金融机构支付服务管理办法》,"1.根据《非金融机构支付服务管理办法》，处罚款3万元。
2.根据《中华人民共和国消费者权益保护法》，对产品宣传与个人信息保护两项违法行为，分别给予警告，并处罚款10万元、5万元。

以上罚款合计人民币18万元。
",18,中国人民银行杭州中心支行,杭州,2018-03-22,,,监管,否,执行层面,其他,重要(3),3.0,,,
222,146,运营支持,财务流程管理,备付金管理,西安城市一卡通有限责任公司,西安一卡通,（西银）罚字〔2017〕10号,违规变更和违反备付金管理相关规定,《支付机构客户备付金存管办法》,罚款60000元,6,中国人民银行西安分行,西安,2018-03-21,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
223,147,运营支持,财务流程管理,备付金管理,陕西邮政西邮寄电子支付有限责任公司,邮政西,（西银）罚字〔2017〕第11号,违反备付金管理相关规定,《支付机构客户备付金存管办法》,对公司处以3万元罚款,3,中国人民银行西安分行,西安,2018-03-21,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
224,148,交易管理,银行卡收单管理,交易结算,乐刷科技有限公司成都分公司,乐刷,成银罚字〔2018〕3号,违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,处以罚款人民币2 万元,2,中国人民银行成都分行,成都,2018-03-19,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
225,149,交易管理,网络支付管理,交易结算,瑞银信信息技术有限公司,瑞银,深人银罚〔2018〕2号,违反支付结算管理规定,不适用,限期整改，罚款21万元,21,中国人民银行深圳中心支行,深圳,2018-03-13,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
226,150,运营支持,财务流程管理,备付金管理,浙江航天电子信息产业有限公司,浙江航天,杭银处罚字〔2018〕17号,未按规定保管相关资料,《支付机构客户备付金存管办法》,对未按规定存放和使用客户备付金处3万元罚款，对未按规定保管相关资料处1万元罚款，合计处4万元罚款。,4,中国人民银行杭州中心支行,杭州,2018-02-24,,,监管,否,执行层面,文件归档不符合监管或公司规定,重要(3),3.0,,,
227,150,运营支持,财务流程管理,备付金管理,浙江航天电子信息产业有限公司,浙江航天,杭银处罚字〔2018〕17号,未按规定存放和使用客户备付金,《支付机构客户备付金存管办法》,对未按规定存放和使用客户备付金处3万元罚款，对未按规定保管相关资料处1万元罚款，合计处4万元罚款。,4,中国人民银行杭州中心支行,杭州,2018-02-24,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
228,151,运营支持,财务流程管理,备付金管理,杭州市民卡有限公司,杭州市民卡,杭银处罚字〔2018〕18号,未按规定保管相关资料,《支付机构客户备付金存管办法》,对未按规定存放和使用客户备付金处3万元罚款，对未按规定保管相关资料处1万元罚款，合计处4万元罚款。,4,中国人民银行杭州中心支行,杭州,2018-02-24,,,监管,否,执行层面,文件归档不符合监管或公司规定,重要(3),3.0,,,
229,151,运营支持,财务流程管理,备付金管理,杭州市民卡有限公司,杭州市民卡,杭银处罚字〔2018〕18号,未按规定存放和使用客户备付金,《支付机构客户备付金存管办法》,对未按规定存放和使用客户备付金处3万元罚款，对未按规定保管相关资料处1万元罚款，合计处4万元罚款。,4,中国人民银行杭州中心支行,杭州,2018-02-24,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
230,152,运营支持,财务流程管理,备付金管理,商盟商务服务有限公司,商盟,杭银处罚字〔2018〕19号,存在损害客户合法权益的行为,《支付机构客户备付金存管办法》,对未按规定存放和使用客户备付金处3万元罚款，对存在损害客户合法权益的行为处3万元罚款，合计处6万元罚款,6,中国人民银行杭州中心支行,杭州,2018-02-24,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
231,152,运营支持,财务流程管理,备付金管理,商盟商务服务有限公司,商盟,杭银处罚字〔2018〕19号,未按规定存放和使用客户备付金,《支付机构客户备付金存管办法》,对未按规定存放和使用客户备付金处3万元罚款，对存在损害客户合法权益的行为处3万元罚款，合计处6万元罚款,6,中国人民银行杭州中心支行,杭州,2018-02-24,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
232,153,交易管理,网络支付管理,交易结算,山东高速信联支付有限公司,高速信联,济银罚字〔2018〕3号,因违反支付结算业务规定,不适用,警告，罚款7万元,7,中国人民银行济南分行,济南,2018-02-23,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
233,154,交易管理,网络支付管理,交易结算,深圳瑞银信信息技术有限公司东营分公司,瑞银,（东银）罚字〔2017〕7号,违反支付结算业务规定,不适用,罚款30000元,3,中国人民银行东营中心支行,东营,2018-02-22,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
238,157,交易管理,银行卡收单管理,交易结算,中汇电子支付有限公司安徽分公司,中汇,（合银）罚字〔2018〕5号,因违反银行卡收单业务相关法律制度规定,《银行卡收单业务管理办法》相关规定,5万元罚款,5,中国人民银行合肥中心支行,合肥,2018-02-11,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
239,158,交易管理,银行卡收单管理,交易结算,联动优势电子商务有限公司安徽分公司,联动优势,（合银）罚字〔2018〕4号,违反银行卡收单业务相关法律制度规定,《银行卡收单业务管理办法》,责令限期改正，给予警告，并处6万元罚款。,6,中国人民银行合肥中心支行,合肥,2018-02-11,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
240,159,运营支持,财务流程管理,备付金管理,青岛百森通支付有限公司,百森通,（青银）罚字〔2018〕6号,未按规定使用客户备付金,《支付机构客户备付金存管办法》,责令限期整改，并处3万元罚款,3,中国人民银行青岛中心支行,青岛,2018-02-08,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
241,160,交易管理,网络支付管理,交易结算,中汇电子支付有限公司,中汇,津银罚〔2018〕1号,违反《非金融机构支付服务管理办法》等相关法律制度规定,《非金融机构支付服务管理办法》,给予9万元罚款行政处罚。,9,中国人民银行天津分行,天津,2018-02-07,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
242,164,交易管理,银行卡收单管理,交易结算,乐刷科技有限公司,乐刷,（青银）罚字〔2017〕5号,违反银行卡收单业务管理办法,《银行卡收单业务管理办法》,处罚款6万元,6,中国人民银行青岛中心支行,青岛,2017-12-07,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
243,165,交易管理,银行卡收单管理,交易结算,随行付支付有限公,随行付,（青银）罚字〔2017〕6号,违反银行卡收单业务管理办法,《银行卡收单业务管理办法》,处罚款6万元,6,中国人民银行青岛中心支行,青岛,2017-12-07,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
244,167,客户管理,个人客户管理,个人客户准入（包括实名要求）,中移电子商务有限公司,中移,长银罚字〔2017〕17号,1.开立个人支付账户未按要求留存客户身份证影印件;,《支付机构预付卡业务管理办法》,罚款50000元,5,中国人民银行长沙中心支行,长沙,2017-12-07,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
245,167,客户管理,商户管理,账户开立与账户管理,中移电子商务有限公司,中移,长银罚字〔2017〕17号,2.存在为金融机构，或从事信贷、融资、理财、担保、信托、货币兑换等金融业务的其他机构开立支付账户的情况。,《支付机构预付卡业务管理办法》,罚款50000元,5,中国人民银行长沙中心支行,长沙,2017-12-07,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
246,167,客户管理,商户管理,账户开立与账户管理,中移电子商务有限公司,中移,长银罚字〔2017〕17号,3.存在客户参与和包券领取活动时，未经客户同意开立支付账户的情况。,《支付机构预付卡业务管理办法》,罚款50000元,5,中国人民银行长沙中心支行,长沙,2017-12-07,,,监管,否,执行层面,客户、产品和业务活动事件,重要(3),3.0,,,
247,168,交易管理,银行卡收单管理,交易结算,上海盛付通电子支付服务有限公司石家庄分公司,盛付通,银石罚字〔2017〕10号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,处以罚款4万元,4,中国人民银行石家庄中心支行,石家庄,2017-12-01,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
248,169,交易管理,银行卡收单管理,交易结算,上海德颐网络技术有限公司河北分公司（付临门支付有限公司河北分公司）,德颐,银石罚字〔2017〕11号,违反银行卡收单业务管理规定,《银行卡收单业务管理办法》,处以罚款9万元,9,中国人民银行石家庄中心支行,石家庄,2017-12-01,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
249,174,交易管理,网络支付管理,交易结算,金运通网络支付股份有限公司,金运通,济银罚字〔2017〕3号,违反支付结算业务规定,不适用,罚款20万元,20,中国人民银行济南分行,济南,2017-11-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
250,175,交易管理,网络支付管理,交易结算,福建国通星驿网络科技有限公司山东分公司,国通星驿,济银罚字〔2017〕4号,违反支付结算业务规定,不适用,罚款3万元,3,中国人民银行济南分行,济南,2017-11-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
251,176,交易管理,网络支付管理,交易结算,北京海科融通支付服务股份有限公司山东分公司,海科融通,济银罚字〔2017〕5号,违反支付结算业务规定,不适用,罚款3万元,3,中国人民银行济南分行,济南,2017-11-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
252,177,交易管理,网络支付管理,交易结算,乐刷科技有限公司济南分公司,乐刷,济银罚字〔2017〕6号,违反支付结算业务规定,不适用,罚没352498.66元,35,中国人民银行济南分行,济南,2017-11-14,,,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
253,178,交易管理,网络支付管理,交易结算,付临门支付有限公司山东分公司,付临门,济银罚字〔2017〕7号,违反支付结算业务规定,不适用,罚没635370.12元,63,中国人民银行济南分行,济南,2017-11-14,,,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
254,179,交易管理,网络支付管理,交易结算,中汇电子支付有限公司山东分公司,中汇,济银罚字〔2017〕8号,违反支付结算业务规定,不适用,罚没515817.58元,51,中国人民银行济南分行,济南,2017-11-14,,,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
255,180,交易管理,网络支付管理,交易结算,随行付支付有限公司山东分公司,随行付,济银罚字〔2017〕第9号,违反支付结算业务规定,不适用,对公司处以罚款6万元,6,中国人民银行济南分行,济南,2017-11-14,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
256,181,交易管理,银行卡收单管理,交易结算, 随行付支付有限公司湖南分公司,随行付,长银罚字〔2017〕14号,违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,处以罚款人民币3万元,3,中国人民银行长沙中心支行,长沙,2017-11-09,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
257,182,交易管理,银行卡收单管理,交易结算,乐刷科技有限公司长沙分公司,乐刷,长银罚字〔2017〕15号,违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,处以罚款人民币3万元,3,中国人民银行长沙中心支行,长沙,2017-11-09,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
258,184,交易管理,银行卡收单管理,交易结算,随行付支付有限公司宁夏分公司,随行付,宁银罚〔2017〕5号,违反《银行卡收单业务管理办法》相关规定,《银行卡收单业务管理办法》相关规定,罚款1.5万元,1.5,中国人民银行银川中心支行,银川,2017-10-30,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
259,186,交易管理,银行卡收单管理,交易结算,随行付支付有限公司安徽分公司,随行付,（合银）罚字〔2017〕5号,违反银行卡收单业务相关法律制度规定,《银行卡收单业务管理办法》,责令限期改正，并处2万元罚款。,2,中国人民银行合肥中心支行,合肥,2017-10-09,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
260,187,交易管理,银行卡收单管理,交易结算,随行付支付有限公司内蒙古分公司,随行付,蒙银罚字〔2017〕3号,违反银行卡收单业务相关法律制度规定,《银行卡收单业务管理办法》,责令限期改正，并处人民币三万元罚款,3,中国人民银行呼和浩特中心支行,呼和浩特,2017-09-25,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
261,188,交易管理,网络支付管理,交易结算,中付支付科技有限公司,中付,深人银罚〔2017〕16号,违反支付结算管理规定,不适用,"处以人民币120,000元罚款",12,中国人民银行深圳中心支行,深圳,2017-09-20,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
262,189,客户管理,商户管理,账户开立与账户管理,天全县农村信用联社,天全农信社,雅银罚字〔2017〕4号,银行结算账户开立备案不及时,不适用,15000.00元罚款,1.5,中国人民银行雅安中心支行,雅安,2017-09-11,,,监管,否,执行层面,客户、产品和业务活动事件,一般(2),2.0,,,
263,190,交易管理,网络支付管理,交易结算,东方电子支付有限公司,东方,上海银罚字〔2017〕64号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币3万元,3,中国人民银行上海分行,上海,2017-09-08,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
264,191,交易管理,网络支付管理,交易结算,中钢银通信息技术服务有限公司,中钢银,上海银罚字〔2017〕60号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币3万元,3,中国人民银行上海分行,上海,2017-09-06,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
265,192,交易管理,网络支付管理,交易结算,东方付通信息技术有限公司,东方付,上海银罚字〔2017〕62号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币3万元,3,中国人民银行上海分行,上海,2017-09-06,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
266,193,交易管理,网络支付管理,交易结算,杉德支付网络服务发展有限公司,杉德,上海银罚字〔2017〕57号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,"没收违法所得人民币349,141.81元，并处以罚款人民币850,000.00元，共计人民币1,199,141.81元。",85,中国人民银行上海分行,上海,2017-09-05,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
267,194,交易管理,网络支付管理,交易结算,通联支付网络服务股份有限公司,通联,上海银罚字〔2017〕58号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币3万元,3,中国人民银行上海分行,上海,2017-09-05,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
268,195,交易管理,网络支付管理,交易结算,上海华势信息科技有限公司,华势,上海银罚字〔2017〕56号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币4万元,4,中国人民银行上海分行,上海,2017-09-04,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
269,196,交易管理,网络支付管理,交易结算,智付电子支付有限公司,智付,深人银罚〔2017〕15号,违反支付结算管理规定,不适用,"处以人民币90,000元罚款",9,中国人民银行深圳中心支行,深圳,2017-09-04,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
270,197,交易管理,网络支付管理,交易结算,安付宝商务有限公司,安付宝,上海银罚字〔2017〕61号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币1万元,1,中国人民银行上海分行,上海,2017-09-01,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
271,198,交易管理,网络支付管理,交易结算,上海新华传媒电子商务有限公司,新华传媒,上海银罚字〔2017〕63号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币4万元,4,中国人民银行上海分行,上海,2017-09-01,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
272,199,交易管理,网络支付管理,交易结算,上海盛付通电子支付服务有限公司 ,盛付通,上海银罚字〔2017〕45号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,没收违法所得人民币59.33万元，并处以罚款人民币59.33万元，共计人民币118.66万元,59.33,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
273,200,交易管理,网络支付管理,交易结算,宝付网络科技（上海）有限公司,宝付,上海银罚字〔2017〕46号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币10万元,10,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
274,201,交易管理,网络支付管理,交易结算,上海瀚银信息技术有限公司,瀚银,上海银罚字〔2017〕47号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,没收违法所得人民币66375.24元，并处以罚款人民币50万元，共计人民币566375.24元,50,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
275,202,交易管理,网络支付管理,交易结算,银联商务有限公司,银联,上海银罚字〔2017〕48号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币1万元,1,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
276,203,交易管理,网络支付管理,交易结算,上海润通实业投资有限公司,润通,上海银罚字〔2017〕49号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,没收违法所得人民币71.5万元，并处以罚款人民币71.5万元，共计人民币143万元,71.5,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
277,204,交易管理,网络支付管理,交易结算,上海便利通电子商务有限公司,便利通,上海银罚字〔2017〕50号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,没收违法所得51万元，并罚款51万元，共计102万元,102,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
278,205,交易管理,网络支付管理,交易结算,上海付费通信息服务有限公司,付费通,上海银罚字〔2017〕51号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币5万元,5,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
279,206,交易管理,网络支付管理,交易结算,上海大千商务服务有限公司,大千,上海银罚字〔2017〕52号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,没收违法所得人民币62.74万元，并处以罚款人民币62.74万元，共计人民币125.48万元,62.74,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
280,207,交易管理,网络支付管理,交易结算,上海申城通商务有限公司,申城通,上海银罚字〔2017〕53号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币5万元,5,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
281,208,交易管理,网络支付管理,交易结算,上海付费通企业服务有限公司,付费通,上海银罚字〔2017〕54号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币7万元,7,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
282,209,交易管理,网络支付管理,交易结算,上海点佰趣信息科技有限公司 ,点佰趣,上海银罚字〔2017〕55号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,"没收违法所得人民币69,580.30元，并处以罚款人民币50万元，合计人民币569,580.30元",50,中国人民银行上海分行,上海,2017-08-29,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
283,210,交易管理,网络支付管理,交易结算,上海东方汇融信息技术服务有限公司,东方汇融,上海银罚字〔2017〕38号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币4万元,4,中国人民银行上海分行,上海,2017-08-23,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
284,211,交易管理,网络支付管理,交易结算,上海商旅通商务有限公司,商旅通,上海银罚字〔2017〕39号,违反支付规定,不适用,1万元罚款,1,中国人民银行上海分行,上海,2017-08-23,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
285,212,交易管理,网络支付管理,交易结算,上海金诚通电子有限公司,金诚通,上海银罚字〔2017〕40号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币1万元,1,中国人民银行上海分行,上海,2017-08-23,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
286,213,交易管理,网络支付管理,交易结算,银视通信息科技有限公司,银视,上海银罚字〔2017〕41号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币50万元,50,中国人民银行上海分行,上海,2017-08-23,,,监管,否,执行层面,执行、交割和流程管理事件,严重(4),4.0,,,
287,214,交易管理,网络支付管理,交易结算,锦江国际商务有限公司,锦江国际商务,上海银罚字〔2017〕42号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币4万元,4,中国人民银行上海分行,上海,2017-08-23,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
288,215,交易管理,网络支付管理,交易结算,服务有限公司,服务,上海银罚字〔2017〕43号,违反支付规定,不适用,5万元罚款,5,中国人民银行上海分行,上海,2017-08-23,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
289,216,交易管理,网络支付管理,交易结算,上海千悦企业管理有限公司,千悦,上海银罚字〔2017〕44号,违反支付规定,不适用,3万元罚款,3,中国人民银行上海分行,上海,2017-08-23,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
290,217,交易管理,网络支付管理,交易结算,上海汇付数据服务有限公司,汇付,上海银罚字〔2017〕37号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,罚款人民币6万元,6,中国人民银行上海分行,上海,2017-08-21,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
291,218,交易管理,网络支付管理,交易结算,迅付信息科技有限公司,迅付,上海银罚字〔2017〕28号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,没收违法所得人民币285696.89元，并处以罚款人民币150万元，共计人民币1785696.89元。,150,中国人民银行上海分行,上海,2017-08-18,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
292,219,交易管理,网络支付管理,交易结算,服务有限公司,服务,上海银罚字〔2017〕29号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币3万元,3,中国人民银行上海分行,上海,2017-08-18,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
293,220,交易管理,网络支付管理,交易结算,上海亿付数字技术有限公司,亿付数字,上海银罚字〔2017〕30号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币2万元,2,中国人民银行上海分行,上海,2017-08-18,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
294,221,交易管理,网络支付管理,交易结算,快钱支付清算信息有限公司  ,快钱,上海银罚字〔2017〕31号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,限期改正，处以罚款人民币5万元,5,中国人民银行上海分行,上海,2017-08-18,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
295,222,交易管理,网络支付管理,交易结算,上海瑞得企业服务有限公司,瑞得,上海银罚字〔2017〕32号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币4万元,4,中国人民银行上海分行,上海,2017-08-18,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
296,223,交易管理,网络支付管理,交易结算,上海索迪斯万通,索迪斯万通,上海银罚字〔2017〕33号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币1万元,1,中国人民银行上海分行,上海,2017-08-18,,,监管,否,执行层面,执行、交割和流程管理事件,一般(2),2.0,,,
297,224,交易管理,网络支付管理,交易结算,平安付电子支付有限公司,平安付,上海银罚字〔2017〕34号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,罚款人民币4万元,4,中国人民银行上海分行,上海,2017-08-18,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
298,225,交易管理,网络支付管理,交易结算,上海都市旅游卡,上海都市旅游卡,上海银罚字〔2017〕35号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,处以罚款人民币5万元,5,中国人民银行上海分行,上海,2017-08-18,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
299,226,交易管理,网络支付管理,交易结算,得仕股份有限公司 ,得仕,上海银罚字〔2017〕36号,违反支付业务规定,《非银行支付机构网络支付业务管理办法》,"警告，没收违法所得人民币65,249.23元，并处以罚款人民币50万元，共计人民币565,249.23元。",50,中国人民银行上海分行,上海,2017-08-18,,,监管,否,执行层面,执行、交割和流程管理事件,灾难性(5),5.0,,,
300,227,交易管理,银行卡收单管理,交易结算,中汇电子支付有限公司湖南分公司,中汇,长银罚字〔2017〕10号,违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,处以罚款人民币3万元,3,中国人民银行长沙中心支行,长沙,2017-08-16,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
301,228,交易管理,银行卡收单管理,交易结算,上海德颐网络技术有限公司湖南分公司,德颐,长银罚字〔2017〕11号,违反银行卡收单业务相关规定,《银行卡收单业务管理办法》,警告，处以罚款人民币3万元,3,中国人民银行长沙中心支行,长沙,2017-08-16,,,监管,否,执行层面,执行、交割和流程管理事件,重要(3),3.0,,,
